Question Number,Question,Answer,Category,Difficulty
783,What is QoS (Quality of Service)?,QoS prioritizes specific types of network traffic to ensure performance for critical services.,Networking,Hard
784,What are the differences between TCP congestion control algorithms?,"They differ in how they detect and respond to congestion (e.g., Reno, Cubic, BBR).",Networking,Hard
785,What is a SYN flood attack?,A SYN flood attack overwhelms a server with incomplete TCP handshakes.,Networking,Hard
786,How do CDN edge nodes affect latency?,Edge nodes reduce latency by caching content closer to end users.,Networking,Hard
787,What is network segmentation?,Network segmentation divides a network into smaller parts for security and performance.,Networking,Hard
788,How does IP fragmentation work?,Large packets are split into smaller fragments to fit the MTU and reassembled at destination.,Networking,Hard
789,What is route poisoning?,Route poisoning is used in distance-vector routing protocols to prevent routing loops.,Networking,Hard
790,What is deep packet inspection?,"DPI analyzes packet content for filtering, monitoring, or security purposes.",Networking,Hard
791,What is BGP?,Border Gateway Protocol is used to exchange routing information between autonomous systems.,Networking,Hard
792,Explain how TCP handshake works.,"TCP handshake is a 3-step process (SYN, SYN-ACK, ACK) used to establish a connection.",Networking,Hard
793,What are the types of firewalls?,"Types include packet filtering, stateful inspection, proxy, and next-gen firewalls.",Networking,Hard
794,What is a VLAN?,A VLAN (Virtual LAN) groups devices on different physical LANs into one logical network.,Networking,Hard
795,What is DNS poisoning?,"DNS poisoning is an attack that corrupts DNS data, redirecting traffic to malicious sites.",Networking,Hard
796,How does load balancing work in networking?,Load balancers distribute incoming network traffic across multiple servers to improve performance.,Networking,Hard
797,What is the difference between synchronous and asynchronous communication?,"Synchronous waits for response; asynchronous doesn't, allowing better scalability.",Networking,Hard
798,Explain MTU and fragmentation.,MTU (Maximum Transmission Unit) is the largest packet size; larger packets are fragmented.,Networking,Hard
799,What is QoS in networking?,Quality of Service prioritizes certain types of network traffic for better performance.,Networking,Hard
800,What is a man-in-the-middle attack?,An attacker intercepts communication between two parties without their knowledge.,Networking,Hard
801,How would you reduce latency in a multiplayer game?,"Use UDP, geographically distributed servers, and reduce data payload.",Networking,Real-World
802,Why is a CDN used for video streaming?,CDNs reduce latency and buffering by serving content from the nearest edge server.,Networking,Real-World
803,How would you troubleshoot a slow internet connection?,"Check bandwidth usage, ping latency, DNS resolution time, and router logs.",Networking,Real-World
804,How does a Wi-Fi extender work in large homes?,It rebroadcasts the signal from the main router to cover dead zones.,Networking,Real-World
805,How does email security work in enterprises?,"Via protocols like SPF, DKIM, DMARC, and secure gateways that filter spam and phishing.",Networking,Real-World
806,What is an operating system?,"An operating system is system software that manages computer hardware, software resources, and provides services to applications.",Operating Systems,Easy
807,What are the types of operating systems?,"Types include batch, time-sharing, distributed, embedded, real-time, and network OS.",Operating Systems,Easy
808,What is a process?,"A process is a program in execution, with its own memory space and resources.",Operating Systems,Easy
809,What is the difference between a process and a thread?,A process has its own memory space; threads share the same memory space within a process.,Operating Systems,Easy
810,What is virtual memory?,Virtual memory is a memory management technique that provides an 'idealized abstraction' of storage using both RAM and disk space.,Operating Systems,Easy
811,What is a kernel?,"A kernel is the core of the OS that manages hardware, system resources, and enables communication between hardware and software.",Operating Systems,Easy
812,What is context switching?,Context switching is the process of storing and restoring the state of a CPU so execution can be resumed from the same point later.,Operating Systems,Easy
813,What is multitasking?,Multitasking is the ability of an OS to execute multiple tasks (processes) simultaneously.,Operating Systems,Easy
814,What is a deadlock?,A deadlock is a state where processes are unable to proceed because each is waiting for the other to release resources.,Operating Systems,Easy
815,What is paging in OS?,Paging is a memory management scheme that eliminates the need for contiguous allocation by dividing memory into fixed-size pages.,Operating Systems,Easy
816,What are system calls?,"System calls are the interface between a process and the operating system, allowing access to hardware and services.",Operating Systems,Medium
817,What is a semaphore?,A semaphore is a synchronization primitive used to control access to a common resource in concurrent systems.,Operating Systems,Medium
818,What is memory fragmentation?,Memory fragmentation occurs when free memory is broken into small blocks and cannot be allocated efficiently.,Operating Systems,Medium
819,What is the difference between preemptive and non-preemptive scheduling?,Preemptive scheduling allows the OS to interrupt a running process; non-preemptive doesn't until the process voluntarily yields.,Operating Systems,Medium
820,What is thrashing?,Thrashing is a condition where excessive paging operations reduce performance drastically.,Operating Systems,Medium
821,What is the role of device drivers?,Device drivers are programs that allow the OS to communicate with hardware peripherals.,Operating Systems,Medium
822,What is inter-process communication (IPC)?,IPC is a mechanism that allows processes to communicate and synchronize with each other.,Operating Systems,Medium
823,What is demand paging?,Demand paging is a method where pages are loaded into memory only when needed.,Operating Systems,Medium
824,What is the difference between stack and heap memory?,"Stack is used for static memory allocation, heap for dynamic allocation during runtime.",Operating Systems,Medium
825,What is priority scheduling?,"Priority scheduling is a scheduling method where each process is assigned a priority, and the OS executes the highest priority first.",Operating Systems,Medium
826,What is the Banker's algorithm?,Banker's algorithm is used to avoid deadlock by simulating resource allocation for safety before making changes.,Operating Systems,Hard
827,Explain the working of LRU page replacement algorithm.,LRU (Least Recently Used) replaces the page that hasn't been used for the longest time.,Operating Systems,Hard
828,What are the conditions for deadlock?,"Mutual exclusion, hold and wait, no preemption, and circular wait.",Operating Systems,Hard
829,What is inode in Unix?,An inode is a data structure that stores metadata about a file except its name.,Operating Systems,Hard
830,What is the difference between fork and exec?,fork creates a new process; exec replaces the current process image with a new process image.,Operating Systems,Hard
831,What is the difference between monolithic and microkernel OS architecture?,Monolithic has all services in one kernel; microkernel runs core functions only and other services in user space.,Operating Systems,Hard
832,How does an OS handle a page fault?,The OS loads the required page from disk into RAM and updates page tables before resuming execution.,Operating Systems,Hard
833,What is memory-mapped I/O?,"Memory-mapped I/O maps device registers into address space, allowing devices to be accessed as memory.",Operating Systems,Hard
834,Explain TLB (Translation Lookaside Buffer).,TLB is a cache used to reduce the time taken to access page table entries.,Operating Systems,Hard
835,What are zombie and orphan processes?,Zombie: completed but still in the process table; Orphan: whose parent has terminated.,Operating Systems,Hard
836,How would you optimize memory usage in an embedded system with limited RAM?,"Use memory-efficient data structures, disable unused features, and minimize memory allocations.",Operating Systems,Real-World
837,How does an OS on a mobile phone manage battery-intensive background apps?,"It limits CPU and network access, uses job schedulers, and applies restrictions like Doze mode (Android).",Operating Systems,Real-World
838,How would you handle a deadlock in a real-time trading platform?,"By applying a timeout, using non-blocking calls, and designing for resource hierarchy.",Operating Systems,Real-World
839,What's a practical use of inter-process communication in modern software?,"Microservices or background services communicating with main apps (e.g., chat app notifications).",Operating Systems,Real-World
840,Why is real-time OS used in medical devices?,Real-time OS ensures deterministic behavior for critical tasks like patient monitoring and alerting.,Operating Systems,Real-World
841,Write a Python program to find the factorial of a number using recursion.,def factorial(n):\n    if n == 0:\n        return 1\n    else:\n        return n * factorial(n-1),Python,Easy
842,Write a Python function to check if a string is a palindrome.,def is_palindrome(s):\n    return s == s[::-1],Python,Easy
843,Write a Python function to find the largest element in a list.,def largest_element(lst):\n    return max(lst),Python,Easy
844,Write a Python program to count the occurrences of a substring in a string.,"def count_substring(string, substring):\n    return string.count(substring)",Python,Easy
845,Write a Python function to check whether a number is prime.,"def is_prime(n):\n    if n <= 1:\n        return False\n    for i in range(2, int(n ** 0.5) + 1):\n        if n % i == 0:\n            return False\n    return True",Python,Easy
846,Write a Python program to generate Fibonacci series up to nth number.,"def fibonacci(n):\n    fib = [0, 1]\n    for i in range(2, n):\n        fib.append(fib[i-1] + fib[i-2])\n    return fib",Python,Easy
847,Write a Python function to reverse a string.,def reverse_string(s):\n    return s[::-1],Python,Easy
848,Write a Python function to merge two sorted lists into a single sorted list.,"def merge_sorted_lists(list1, list2):\n    return sorted(list1 + list2)",Python,Easy
849,Write a Python program to find the minimum element in a list.,def minimum_element(lst):\n    return min(lst),Python,Easy
850,Write a Python function to remove all duplicates from a list.,def remove_duplicates(lst):\n    return list(set(lst)),Python,Easy
851,Write a Python program to implement binary search.,"def binary_search(arr, target):\n    left, right = 0, len(arr) - 1\n    while left <= right:\n        mid = (left + right) // 2\n        if arr[mid] == target:\n            return mid\n        elif arr[mid] < target:\n            left = mid + 1\n        else:\n            right = mid - 1\n    return -1",Python,Medium
852,Write a Python program to remove duplicates from a list.,def remove_duplicates(lst):\n    return list(dict.fromkeys(lst)),Python,Medium
853,Write a Python function to calculate the nth Fibonacci number using dynamic programming.,"def fibonacci(n):\n    dp = [0, 1]\n    for i in range(2, n+1):\n        dp.append(dp[i-1] + dp[i-2])\n    return dp[n]",Python,Medium
854,Write a Python function to check whether a number is Armstrong.,def is_armstrong(n):\n    length = len(str(n))\n    sum = 0\n    temp = n\n    while temp > 0:\n        sum += (temp % 10) ** length\n        temp //= 10\n    return sum == n,Python,Medium
855,Write a Python program to find the longest common prefix in an array of strings.,def longest_common_prefix(strs):\n    if not strs:\n        return ''\n    prefix = strs[0]\n    for string in strs[1:]:\n        while not string.startswith(prefix):\n            prefix = prefix[:-1]\n    return prefix,Python,Medium
856,Write a Python program to merge two sorted arrays into one.,"def merge_sorted_arrays(arr1, arr2):\n    return sorted(arr1 + arr2)",Python,Medium
857,Write a Python program to check whether a string is an anagram of another string.,"def is_anagram(str1, str2):\n    return sorted(str1) == sorted(str2)",Python,Medium
858,Write a Python program to implement a stack using list.,"class Stack:\n    def __init__(self):\n        self.stack = []\n    def push(self, item):\n        self.stack.append(item)\n    def pop(self):\n        return self.stack.pop() if self.stack else None",Python,Medium
859,Write a Python program to find the prime factors of a number.,"def prime_factors(n):\n    factors = []\n    for i in range(2, n+1):\n        while n % i == 0:\n            factors.append(i)\n            n //= i\n    return factors",Python,Medium
860,Write a Python program to find the second largest number in a list.,"def second_largest(lst):\n    first, second = float('-inf'), float('-inf')\n    for num in lst:\n        if num > first:\n            second = first\n            first = num\n        elif num > second:\n            second = num\n    return second",Python,Medium
861,Write a Python program to find the longest common subsequence (LCS) of two strings.,"def lcs(X, Y):\n    m, n = len(X), len(Y)\n    dp = [[0] * (n + 1) for _ in range(m + 1)]\n    for i in range(m + 1):\n        for j in range(n + 1):\n            if i == 0 or j == 0:\n                dp[i][j] = 0\n            elif X[i - 1] == Y[j - 1]:\n                dp[i][j] = dp[i - 1][j - 1] + 1\n            else:\n                dp[i][j] = max(dp[i - 1][j], dp[i][j - 1])\n    return dp[m][n]",Python,Hard
862,Write a Python program to implement a queue using two stacks.,"class Queue:\n    def __init__(self):\n        self.stack1 = []\n        self.stack2 = []\n    def enqueue(self, item):\n        self.stack1.append(item)\n    def dequeue(self):\n        if not self.stack2:\n            while self.stack1:\n                self.stack2.append(self.stack1.pop())\n        return self.stack2.pop() if self.stack2 else None",Python,Hard
863,Write a Python program to implement a binary search tree (BST).,"class Node:\n    def __init__(self, key):\n        self.left = None\n        self.right = None\n        self.value = key\nclass BST:\n    def insert(self, root, key):\n        if root is None:\n            return Node(key)\n        if key < root.value:\n            root.left = self.insert(root.left, key)\n        else:\n            root.right = self.insert(root.right, key)\n        return root",Python,Hard
864,Write a Python program to solve the N-Queens problem.,"def solve_n_queens(n):\n    def is_safe(board, row, col):\n        for i in range(row):\n            if board[i] == col or board[i] - i == col - row or board[i] + i == col + row:\n                return False\n        return True\n    def solve(board, row):\n        if row == n:\n            result.append(board[:])\n            return\n        for col in range(n):\n            if is_safe(board, row, col):\n                board[row] = col\n                solve(board, row + 1)\n    result = []\n    solve([-1]*n, 0)\n    return result",Python,Hard
865,Write a Python program to find the minimum number of coins required to make change.,"def min_coins(coins, amount):\n    dp = [float('inf')] * (amount + 1)\n    dp[0] = 0\n    for i in range(1, amount + 1):\n        for coin in coins:\n            if i - coin >= 0:\n                dp[i] = min(dp[i], dp[i - coin] + 1)\n    return dp[amount] if dp[amount] != float('inf') else -1",Python,Hard
866,Write a Python program to find the longest increasing subsequence.,"def longest_increasing_subsequence(arr):\n    n = len(arr)\n    dp = [1] * n\n    for i in range(1, n):\n        for j in range(i):\n            if arr[i] > arr[j] and dp[i] < dp[j] + 1:\n                dp[i] = dp[j] + 1\n    return max(dp)",Python,Hard
867,Write a Python program to implement Dijkstra's algorithm.,"import heapq\n\ndef dijkstra(graph, start):\n    pq = [(0, start)]\n    dist = {start: 0}\n    while pq:\n        d, node = heapq.heappop(pq)\n        for neighbor, weight in graph[node]:\n            new_dist = d + weight\n            if neighbor not in dist or new_dist < dist[neighbor]:\n                dist[neighbor] = new_dist\n                heapq.heappush(pq, (new_dist, neighbor))\n    return dist",Python,Hard
868,Write a Python program to find the shortest path in a grid.,"def shortest_path(grid):\n    rows, cols = len(grid), len(grid[0])\n    directions = [(0, 1), (1, 0), (0, -1), (-1, 0)]\n    queue = [(0, 0, 0)]\n    visited = set([(0, 0)])\n    while queue:\n        x, y, dist = queue.pop(0)\n        if (x, y) == (rows - 1, cols - 1):\n            return dist\n        for dx, dy in directions:\n            nx, ny = x + dx, y + dy\n            if 0 <= nx < rows and 0 <= ny < cols and grid[nx][ny] == 0 and (nx, ny) not in visited:\n                visited.add((nx, ny))\n                queue.append((nx, ny, dist + 1))\n    return -1",Python,Hard
869,Write a Python program to implement the knapsack problem.,"def knapsack(weights, values, capacity):\n    n = len(weights)\n    dp = [[0] * (capacity + 1) for _ in range(n + 1)]\n    for i in range(n + 1):\n        for w in range(capacity + 1):\n            if i == 0 or w == 0:\n                dp[i][w] = 0\n            elif weights[i - 1] <= w:\n                dp[i][w] = max(values[i - 1] + dp[i - 1][w - weights[i - 1]], dp[i - 1][w])\n            else:\n                dp[i][w] = dp[i - 1][w]\n    return dp[n][capacity]",Python,Hard
870,Write a Python program to implement a graph using adjacency list.,"class Graph:\n    def __init__(self):\n        self.graph = {}\n    def add_edge(self, u, v):\n        if u not in self.graph:\n            self.graph[u] = []\n        self.graph[u].append(v)\n    def dfs(self, v, visited=None):\n        if visited is None:\n            visited = set()\n        visited.add(v)\n        for neighbor in self.graph.get(v, []):\n            if neighbor not in visited:\n                self.dfs(neighbor, visited)\n        return visited",Python,Hard
871,What is cybersecurity?,"Cybersecurity is the practice of protecting systems, networks, and data from digital attacks.",Security,Easy
872,What is encryption?,Encryption is the process of converting information into code to prevent unauthorized access.,Security,Easy
873,What is a firewall?,A firewall is a network security device or software that monitors and controls incoming and outgoing traffic.,Security,Easy
874,What is malware?,"Malware is software designed to harm, exploit, or otherwise compromise data or systems.",Security,Easy
875,What is two-factor authentication?,Two-factor authentication adds an extra layer of security by requiring two forms of verification.,Security,Easy
876,What is phishing?,Phishing is a cyber attack where attackers impersonate legitimate entities to steal sensitive information.,Security,Easy
877,What is HTTPS?,"HTTPS is the secure version of HTTP, using encryption (SSL/TLS) to secure data transfer.",Security,Easy
878,What is a VPN?,A VPN (Virtual Private Network) encrypts internet traffic and hides the user's IP address for privacy and security.,Security,Easy
879,What is brute-force attack?,A brute-force attack tries many combinations of passwords or keys until the correct one is found.,Security,Easy
880,What is a digital certificate?,A digital certificate verifies the ownership of a public key and is issued by a certificate authority.,Security,Easy
881,"What is SQL injection, and how can it be prevented?","SQL injection exploits vulnerabilities to execute malicious SQL. Prevent with parameterized queries, input validation, and least privilege access.",Security,Medium
882,Explain the concept of Cross-Site Scripting (XSS).,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP.",Security,Medium
883,Describe the process of password hashing and salting.,"Hashing transforms passwords into hashes using algorithms; salting adds randomness, enhancing security against attacks.",Security,Medium
884,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Security,Medium
885,How do you protect against session fixation attacks?,"Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication.",Security,Medium
886,What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.",Security,Medium
887,How can you secure sensitive data in a mobile app?,"Secure data by encrypting at rest and in transit, using secure authentication, and following best practices.",Security,Medium
888,Discuss the importance of security in API design.,"API security is vital to protect data and prevent unauthorized access, using authentication, validation, rate limiting, and encryption.",Security,Medium
889,What is hashing?,"Hashing is converting data into a fixed-length string using a hash function, often used for data integrity.",Security,Medium
890,What is the difference between symmetric and asymmetric encryption?,Symmetric encryption uses the same key for encryption and decryption; asymmetric uses public/private key pairs.,Security,Medium
891,What is SQL injection?,SQL injection is a code injection technique that exploits vulnerabilities in an application's database layer.,Security,Medium
892,What is XSS (Cross-site scripting)?,XSS is a vulnerability where attackers inject malicious scripts into trusted websites.,Security,Medium
893,What is CSRF (Cross-site request forgery)?,CSRF is an attack that forces a user to execute unwanted actions on a web application where they're authenticated.,Security,Medium
894,What is penetration testing?,Penetration testing is simulating cyberattacks on systems to find and fix vulnerabilities.,Security,Medium
895,What is a zero-day vulnerability?,"A zero-day vulnerability is a security flaw unknown to those who should fix it, leaving it open to exploitation.",Security,Medium
896,What is role-based access control?,RBAC restricts system access based on the roles of individual users within an organization.,Security,Medium
897,What is a security token?,A security token is a physical or digital device used to gain access to restricted systems.,Security,Medium
898,What is a security audit?,"A security audit assesses the effectiveness of security policies, procedures, and controls in an organization.",Security,Medium
899,Your web app is vulnerable to SQL Injection. How do you fix it?,Use parameterized queries and input validation to prevent attackers from injecting malicious SQL.,Security,Medium
900,How do you ensure user sessions are secure in a web app?,"Use HTTPS, secure cookies, short session expiry, regenerate tokens on login, and validate CSRF tokens.",Security,Medium
901,How can you prevent brute-force login attempts?,"Implement rate-limiting, account lockout policies, CAPTCHAs, and monitor IP behavior.",Security,Medium
902,What is two-factor authentication (2FA)?,2FA adds extra security by requiring two verification forms: something known (password) and something possessed (device).,Security,Hard
903,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Security,Hard
904,Create a secure and scalable authentication system for a web application.,"Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.",Security,Hard
905,Design a fraud detection system for online transactions.,"Use machine learning for anomaly detection, implement rule-based systems for known fraud patterns, ensure real-time processing.",Security,Hard
906,Design a secure mobile payment system for developing countries.,"Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.",Security,Hard
907,What is a man-in-the-middle attack?,A MITM attack occurs when an attacker secretly intercepts and possibly alters communication between two parties.,Security,Hard
908,What is SSL/TLS?,SSL/TLS are cryptographic protocols that provide secure communication over a computer network.,Security,Hard
909,What is social engineering?,Social engineering exploits human psychology to gain unauthorized access to systems or data.,Security,Hard
910,What is a sandbox environment?,A sandbox is an isolated environment used to safely test or run untrusted programs.,Security,Hard
911,What is endpoint security?,Endpoint security protects end-user devices like computers and mobile devices from threats.,Security,Hard
912,What is data loss prevention (DLP)?,"DLP refers to tools and strategies used to ensure sensitive data isn't lost, misused, or accessed by unauthorized users.",Security,Hard
913,What is threat modeling?,Threat modeling is identifying potential threats and vulnerabilities in a system and designing mitigation strategies.,Security,Hard
914,What is a honeypot?,A honeypot is a decoy system used to attract and monitor attackers to learn about their tactics.,Security,Hard
915,What is key exchange?,Key exchange is the method by which cryptographic keys are shared between parties in a secure manner.,Security,Hard
916,What is an intrusion detection system (IDS)?,An IDS monitors network or system activities for malicious behavior or policy violations.,Security,Hard
917,A user reports a phishing link sent from your app's domain. What's your response plan?,"Revoke compromised API keys, check mail service configurations (SPF/DKIM/DMARC), and notify users immediately.",Security,Hard
918,You're building a healthcare app. How would you handle sensitive data securely?,"Encrypt data at rest and in transit, follow HIPAA compliance, implement strict access control, and monitor logs.",Security,Hard
919,What is regression testing?,"Regression testing ensures new code changes don't break existing features, maintaining functionality over updates.",Software Testing,Easy
920,What is software testing?,Software testing is the process of evaluating a software application to detect defects and ensure it meets requirements.,Software Testing,Easy
921,What is the difference between bug and defect?,A defect is an issue in the software; a bug is a defect found during testing.,Software Testing,Easy
922,What is unit testing?,Unit testing involves testing individual components or functions of software.,Software Testing,Easy
923,What is manual testing?,Manual testing is the process of testing software manually without using automated tools.,Software Testing,Easy
924,What is automated testing?,Automated testing uses scripts and tools to run tests on software automatically.,Software Testing,Easy
925,What is black box testing?,Black box testing tests software functionality without knowledge of internal code or logic.,Software Testing,Easy
926,What is white box testing?,White box testing involves testing internal structures or logic of an application.,Software Testing,Easy
927,What is regression testing?,Regression testing ensures that new code changes don't affect existing functionality.,Software Testing,Easy
928,What is a test case?,A test case is a set of conditions or steps used to verify a specific functionality.,Software Testing,Easy
929,What is test plan?,"A test plan is a document outlining the scope, approach, resources, and schedule of testing activities.",Software Testing,Easy
930,"What is unit testing, and why is it important?","Unit testing evaluates individual code components, ensuring correctness and facilitating early defect detection.",Software Testing,Medium
931,What is continuous integration (CI) and continuous delivery (CD)?,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.,Software Testing,Medium
932,Explain the concept of code coverage in testing.,"Code coverage measures the extent of code tested, assessing test thoroughness and identifying untested areas.",Software Testing,Medium
933,What is a test case and how do you write one?,"A test case outlines test conditions, inputs, and expected results, structured with objective, steps, and documentation.",Software Testing,Medium
934,"What is load testing, and why is it necessary?","Load testing evaluates system performance under expected load conditions, identifying bottlenecks and scalability issues.",Software Testing,Medium
935,What is a bug tracking system?,"A bug tracking system logs, manages, and resolves issues in software development, ensuring systematic problem handling.",Software Testing,Medium
936,What is integration testing?,Integration testing checks if different modules or services work together correctly.,Software Testing,Medium
937,What is system testing?,System testing evaluates the complete integrated system to verify compliance with requirements.,Software Testing,Medium
938,What is smoke testing?,Smoke testing is a preliminary test to check basic functionality before detailed testing.,Software Testing,Medium
939,What is sanity testing?,Sanity testing is a quick evaluation to check if a particular function works after changes.,Software Testing,Medium
940,What is boundary value analysis?,It is a test design technique that focuses on values at the boundaries of input ranges.,Software Testing,Medium
941,What is equivalence partitioning?,It divides input data into valid and invalid partitions to reduce test cases.,Software Testing,Medium
942,What is exploratory testing?,"It is a simultaneous learning, test design, and execution process without predefined scripts.",Software Testing,Medium
943,What is test coverage?,Test coverage measures the percentage of code tested by a test suite.,Software Testing,Medium
944,What is test automation framework?,It is a set of guidelines and tools for creating and managing automated test scripts.,Software Testing,Medium
945,What is a defect life cycle?,It represents the different stages a defect goes through from identification to closure.,Software Testing,Medium
946,Explain the difference between black-box and white-box testing.,Black-box tests functionality without internal code knowledge; white-box tests internal code logic and structure.,Software Testing,Hard
947,Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.",Software Testing,Hard
948,Describe the differences between manual and automated testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.,Software Testing,Hard
949,What is performance testing?,"Performance testing checks how a system performs under load, stress, or high concurrency.",Software Testing,Hard
950,What is load testing?,Load testing measures a system's behavior under expected load conditions.,Software Testing,Hard
951,What is stress testing?,Stress testing evaluates a system's robustness by pushing it beyond normal operational capacity.,Software Testing,Hard
952,What is security testing?,Security testing checks for vulnerabilities to protect software from external threats and breaches.,Software Testing,Hard
953,What is usability testing?,Usability testing measures how user-friendly and intuitive a software product is.,Software Testing,Hard
954,Explain continuous testing in DevOps.,Continuous testing integrates testing into CI/CD pipelines to provide rapid feedback on code quality.,Software Testing,Hard
955,What is mutation testing?,Mutation testing introduces faults in code to check if test cases can detect them.,Software Testing,Hard
956,What is test-driven development (TDD)?,TDD is a development approach where test cases are written before writing the actual code.,Software Testing,Hard
957,What are flakiness issues in test automation?,Flakiness refers to inconsistent or unreliable test results due to unstable environments or timing issues.,Software Testing,Hard
958,What is parallel test execution?,It involves running multiple tests simultaneously to reduce execution time and improve efficiency.,Software Testing,Hard
959,Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.",System Design,Easy
960,What is system design?,"System design is the process of defining the architecture, components, modules, and interfaces of a system to satisfy requirements.",System Design,Easy
961,What is scalability in system design?,Scalability refers to a system's ability to handle increased load without performance degradation.,System Design,Easy
962,What is latency?,Latency is the delay between a user's request and the system's response.,System Design,Easy
963,What is throughput?,Throughput is the number of requests a system can handle in a given amount of time.,System Design,Easy
964,What is a load balancer?,A load balancer distributes incoming network traffic across multiple servers to ensure no single server is overwhelmed.,System Design,Easy
965,What is caching?,Caching stores frequently accessed data in a faster storage layer to reduce load times and improve performance.,System Design,Easy
966,What is a database index?,A database index is a data structure that improves the speed of data retrieval operations.,System Design,Easy
967,What is a monolithic architecture?,Monolithic architecture is a design where all components of a software system are interconnected and interdependent.,System Design,Easy
968,What is microservices architecture?,"Microservices architecture breaks an application into smaller, independent services that communicate over APIs.",System Design,Easy
969,What is horizontal scaling?,"Horizontal scaling involves adding more machines to handle increased load, unlike vertical scaling which adds resources to a single machine.",System Design,Easy
970,Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",System Design,Medium
971,"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.",System Design,Medium
972,Explain the importance of caching in web applications.,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.",System Design,Medium
973,What is a CDN (Content Delivery Network)?,"A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times.",System Design,Medium
974,Discuss the pros and cons of monolithic vs. microservices architecture.,Monolithic is simple but less scalable; microservices offer scalability and flexibility but are complex to manage.,System Design,Medium
975,Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.",System Design,Medium
976,"What is a message broker, and when would you use one?","A message broker facilitates communication in distributed systems through asynchronous messaging, used in event-driven architectures and high-volume scenarios.",System Design,Medium
977,What is CAP theorem?,"CAP theorem states that a distributed system can only guarantee two out of three: Consistency, Availability, and Partition Tolerance.",System Design,Medium
978,What is sharding?,"Sharding is a database architecture pattern that splits large databases into smaller, faster, more manageable parts called shards.",System Design,Medium
979,What is eventual consistency?,"Eventual consistency means that given enough time, all nodes in a distributed system will become consistent.",System Design,Medium
980,What is a reverse proxy?,A reverse proxy sits in front of servers and forwards client requests to the appropriate backend server.,System Design,Medium
981,How does a CDN improve performance?,"A CDN stores copies of content closer to users, reducing latency and improving load times.",System Design,Medium
982,What is service discovery?,Service discovery enables services to find each other automatically in dynamic environments like microservices.,System Design,Medium
983,What is data replication?,Data replication involves storing copies of data on multiple machines to improve availability and fault tolerance.,System Design,Medium
984,What is the difference between synchronous and asynchronous communication?,"Synchronous communication waits for a response, while asynchronous doesn't, enabling parallel processing.",System Design,Medium
985,What is circuit breaker pattern?,"The circuit breaker pattern prevents a system from making requests that are likely to fail, improving fault tolerance.",System Design,Medium
986,What is eventual consistency?,"Eventual consistency ensures that, in a distributed system, all nodes will eventually hold the same data, given no new updates.",System Design,Medium
987,A video streaming service is lagging for users in remote locations. How do you fix it?,"Implement CDN caching, adaptive bitrate streaming, and replicate data to edge servers closest to users.",System Design,Medium
988,What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.",System Design,Hard
989,How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.",System Design,Hard
990,Design a distributed key-value store.,"Focus on data partitioning, replication for fault tolerance, consistency models, and handling node failures.",System Design,Hard
991,Design a URL shortening service like bit.ly.,"Consider efficient hashing, collision resolution, database schema, scalability, and API rate limiting.",System Design,Hard
992,Design a chat application that can scale to millions of users.,"Consider websocket protocol for real-time communication, efficient message broadcasting, and scalable backend architecture.",System Design,Hard
993,Design a scalable notification system for a social network.,"Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.",System Design,Hard
994,Design an API rate limiter for a web service.,"Use token bucket or leaky bucket algorithms, consider distributed storage for scalability.",System Design,Hard
995,Design an efficient parking lot management system.,"Use object-oriented design principles, focus on efficiently handling different vehicle sizes, and optimizing space usage.",System Design,Hard
